Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,Class
bhojpuri/Annu - Tohar Jhol Piya.opus,1.603037945,0.379761007,0.559313309,0.2661573,13.29935689,2.749790645,3757.324989,4058.27417,21.77295864,8185.536014,0.000218613,0.079023498,bhojpuri
bhojpuri/Ravi Kunwar - Ae Nando.opus,1.60794077,0.396709226,0.605192933,0.272971367,6.765534924,1.815970596,4270.203395,4655.810254,20.22816666,9181.516199,-0.001195268,0.082324606,bhojpuri
bhojpuri/Pawan Singh - Lollypop Lageli.opus,1.75715686,0.431312892,0.616997298,0.27315889,4.023803133,1.491301776,3223.973924,3408.452021,20.36277411,6739.12825,-0.002015015,0.067707725,bhojpuri
bhojpuri/Vinod Deewana - Satal Rahab Saiya Ke Kora Me.opus,1.762105655,0.405833034,0.632024376,0.280679681,18.90496325,2.205791396,2696.325744,2874.002414,20.49274978,5526.031608,0.001098905,0.052667884,bhojpuri
bhojpuri/Vijay Banaras Yadav - Chumma Chapkauwa.opus,1.785909903,0.391491493,0.548274827,0.264789103,2.884190671,-3.373513344,2978.32947,3132.067471,20.83363482,6179.7643,0.001265294,0.063881261,bhojpuri
bhojpuri/Annu - Balam Ji Dihale.opus,1.462714625,0.35607849,0.506688639,0.25985015,14.19439489,2.47679419,2998.389757,3261.044495,19.97123925,6183.987954,-0.001625625,0.066864434,bhojpuri
bhojpuri/Khesari Lal Yadav - Daal De Kewadi Mein Killi.opus,1.524980075,0.448776515,0.558683221,0.263213224,12.22581354,4.189297146,3289.1755,3853.956737,19.33787267,7045.308438,-0.001187529,0.06126237,bhojpuri
bhojpuri/Ritesh Pandey - Gori Tor Chunari.opus,1.498567137,0.359436491,0.555251802,0.267571437,30.83716485,4.033785389,2750.790933,3132.874569,18.43119625,5713.728259,-0.001414816,0.055178208,bhojpuri
bhojpuri/Vijay Banaras Yadav - Kamar Lapalap Lapke.opus,1.444440468,0.357424694,0.50912046,0.25409555,16.54332508,1.242178454,2589.753703,2946.854357,20.48483896,5068.770911,0.015437681,0.056505018,bhojpuri
bhojpuri/Ashok Sonar - Bhatar Nahi Aaya.opus,1.483612391,0.367410933,0.608513487,0.272616605,13.96816074,5.580723886,2397.283094,2730.316619,20.98178439,4629.168399,-0.002583507,0.055701677,bhojpuri
bhojpuri/Ravi Raj Surender - Bihar Wala Chhauda.opus,1.676506163,0.356000682,0.555104146,0.271806742,15.4908105,-1.747108515,2883.981499,2806.979522,21.21128189,5492.617332,0.002082916,0.068060801,bhojpuri
bhojpuri/Sanjit Sharma - Lagake Facewash.opus,1.572787397,0.371495589,0.597017731,0.271411649,21.67132686,5.715594865,4344.133526,4446.26486,19.10947196,9098.605605,0.008094857,0.08641456,bhojpuri
bhojpuri/Swan Singh - Jab Jab Saiya Kare.opus,1.499984365,0.41387945,0.562232752,0.26530027,8.208851643,2.793598965,2761.043546,3468.837541,21.11102621,5826.055385,0.003551018,0.049306921,bhojpuri
bhojpuri/Pradum Lal - Kamkarat Naikhe.opus,1.536957121,0.343099711,0.515818892,0.256289633,17.07804987,-0.904782667,3486.463214,3659.820697,20.83371954,7518.568228,0.009597892,0.067778567,bhojpuri
bhojpuri/Ankur Singh - Shikar Ho Jaibu.opus,1.544372763,0.382503851,0.499261433,0.250237419,16.70263578,4.075323811,3590.786543,3902.16248,21.29036846,7608.823007,-0.01005155,0.069425218,bhojpuri
bhojpuri/Om Prakash - Radha Ji Panghat Pe.opus,1.375476775,0.292644784,0.43421178,0.239851952,1.79717317,-7.200691753,2411.471217,2784.217929,21.04973604,4350.146925,0.009394459,0.0547448,bhojpuri
bhojpuri/Ramu Raja - Rowa Tate Kangna.opus,1.765170861,0.368223278,0.604764757,0.275595892,13.79912002,-0.286246606,3432.498049,3262.937557,20.72903974,6538.558482,-0.000272095,0.082872574,bhojpuri
bhojpuri/Khesari Lal Yadav - Laga Ke Fair Lovely.opus,1.482308788,0.382650821,0.569456461,0.257849785,9.742036979,3.398609419,3104.45238,3541.372645,19.6193023,6720.351653,-0.002128201,0.057067155,bhojpuri
bhojpuri/Ravi Diuwakar - Bhtar Jab Chhatiya Dabawe.opus,1.518386701,0.405098041,0.575589817,0.271001501,3.086819601,1.218112126,3925.014377,4084.788201,20.95516174,8550.339734,-0.006549001,0.084195656,bhojpuri
bhojpuri/Rahul Singh - Akhilesh Bhaiya.opus,1.509564496,0.378457679,0.579292007,0.270546418,25.43996118,5.969670458,2475.002663,2867.481827,18.99059565,4790.500423,-0.000363439,0.05524842,bhojpuri
bhojpuri/Pawan Singh - Sorry Sorry.opus,1.508366436,0.399607951,0.510860198,0.255375435,13.06474759,2.597827329,3312.564362,3803.834244,19.95879958,7278.795771,0.00215514,0.062046817,bhojpuri
bhojpuri/Pawan Singh - Saniya Mirza Cut Nathuniya.opus,1.681455956,0.431947004,0.556828457,0.259083277,3.453912752,0.349071431,3339.658981,3587.633235,19.81754338,7067.707716,0.00182818,0.069419051,bhojpuri
bhojpuri/Tinku Tufan - Saiya Kariya Milal Na.opus,1.665058122,0.305879916,0.614414777,0.276078616,12.94223076,3.462465103,4240.444152,4473.095516,20.65336526,9245.212619,-0.001662966,0.08721362,bhojpuri
bhojpuri/Samresh Sagar - Babu Fasali.opus,1.599605321,0.444318087,0.576928464,0.267655791,30.02066739,3.238425232,2990.619195,3085.066183,18.63926363,6134.179396,0.001687032,0.066103883,bhojpuri
bhojpuri/Ashok Sonkar - Yadav Ji Se Pahile.opus,1.397849963,0.349632912,0.518224253,0.261480761,14.11504636,2.396819881,3807.743805,3633.848799,21.43230892,7595.758689,-0.010445576,0.098772892,bhojpuri
bhojpuri/Sanjit Sharma - Sonwa Re Sonwa.opus,1.541252338,0.371365053,0.530043131,0.264756834,18.83936715,3.776294854,3703.60632,4035.086621,20.16454713,7912.164994,6.04E-05,0.069843898,bhojpuri
bhojpuri/Aditya - Suna Suna Sanam.opus,1.36002472,0.361778692,0.459016971,0.243122929,6.609741312,0.507904297,2318.118005,2008.662331,21.23250343,4292.807004,0.008146765,0.066425284,bhojpuri
